"filename", "language", "JavaScript", "JSON with Comments", "MS SQL", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\eslint.config.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\fix_faculty_circulars_rls.sql", "MS SQL", 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 3, 31
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\next.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 14, 3, 26
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 9356, 0, 0, 0, 1, 9357
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\package.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 48
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\playwright.config.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\apply-hook-fix.mjs", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\apply-migration.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 24, 13, 113
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\apply-section-type-migration.mjs", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 118
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\create-buckets.mjs", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\debug-document.ts", "TypeScript", 0, 0, 0, 247, 0, 0, 0, 0, 0, 25, 55, 327
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\diagnose-auth.mjs", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 130
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\enable-hook-api.mjs", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\enable-hook.mjs", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\fix-all-users.mjs", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\reindex-all-documents.ts", "TypeScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 16, 26, 173
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\reindex-material.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 13, 16, 98
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\simulate-ingest.ts", "TypeScript", 0, 0, 0, 238, 0, 0, 0, 0, 0, 29, 50, 317
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\simulate_academic_workflow.ts", "TypeScript", 0, 0, 0, 353, 0, 0, 0, 0, 0, 47, 70, 470
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-conv.mjs", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-ingest.ts", "TypeScript", 0, 0, 0, 401, 0, 0, 0, 0, 0, 38, 59, 498
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-pdf-encoding.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 7, 44
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-rag.ts", "TypeScript", 0, 0, 0, 181, 0, 0, 0, 0, 0, 21, 29, 231
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-results.json", "JSON", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 130
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-rls.mjs", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
