"filename", "language", "XML", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\enrollments\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 20, 110
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\enrollments\enrollments-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 24, 300
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\enrollments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 9, 70
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\schedules\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 31, 144
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\schedules\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\schedules\schedules-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 18, 331
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\sections\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 26, 125
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\sections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\academic-management\sections\sections-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 15, 227
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\assignments\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 23, 113
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\assignments\assignments-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 13, 283
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\assignments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\attendance\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 27, 144
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\attendance\attendance-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 15, 266
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\gradebook\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 22, 97
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\gradebook\gradebook-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 13, 205
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\gradebook\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\materials\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 37, 191
